POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Luke  Pomersbach,5,5,4,152,79,152,99,153.53,0,1,13,9
2,Simon  Katich,2,2,1,96,75,96,69,139.13,0,1,11,2
3,Michael  Hussey,4,3,1,168,116,84,100,168,1,0,12,11
4,Andrew  Symonds,4,3,1,161,117,80.5,105,153.33,1,0,15,9
5,Shaun  Marsh,11,11,2,616,115,68.44,441,139.68,1,5,59,26
6,Matthew  Hayden,4,4,1,189,81,63,131,144.27,0,2,24,6
7,Brendon  McCullum,4,4,1,188,158,62.66,92,204.34,1,0,13,15
8,NK  Patel,5,4,2,103,57,51.5,81,127.16,0,1,13,1
9,Graeme  Smith,11,11,2,441,91,49,362,121.82,0,3,54,8
10,Shane  Watson,15,15,5,472,76,47.2,311,151.76,0,4,47,19
11,Sanath  Jayasuriya,14,13,2,494,114,44.9,298,165.77,1,2,53,31
12,MS  Dhoni,16,14,4,414,65,41.4,310,133.54,0,2,38,15
13,Gautam  Gambhir,14,14,1,534,86,41.07,379,140.89,0,5,68,8
14,Suresh  Raina,16,14,3,421,55,38.27,296,142.22,0,3,35,18
15,Shikhar  Dhawan,14,14,5,340,68,37.77,295,115.25,0,4,35,8
16,Ross  Taylor,4,4,0,149,53,37.25,81,183.95,0,1,13,10
17,Rohit  Sharma,13,12,1,404,76,36.72,273,147.98,0,4,38,19
18,Venugopal  Rao,11,10,2,288,71,36,210,137.14,0,2,22,15
19,Kumar  Sangakkara,10,9,0,320,94,35.55,198,161.61,0,4,41,8
20,Manpreet  Gony,16,5,4,35,15,35,23,152.17,0,0,2,3
21,Robin  Uthappa,14,13,5,277,48,34.62,243,113.99,0,0,28,8
22,SA  Asnodkar,9,9,0,311,60,34.55,233,133.47,0,2,43,6
23,Albie  Morkel,13,10,3,241,71,34.42,163,147.85,0,1,18,14
24,Virender  Sehwag,14,14,2,406,94,33.83,220,184.54,0,3,46,21
25,Adam  Gilchrist,14,14,1,436,109,33.53,318,137.1,1,3,51,19
26,Mark  Boucher,10,10,3,225,50,32.14,177,127.11,0,1,24,6
27,Subramaniam  Badrinath,16,11,5,192,64,32,130,147.69,0,2,21,8
28,Wriddhiman  Saha,12,10,5,159,59,31.8,119,133.61,0,1,12,7
29,Sachin  Tendulkar,7,7,1,188,65,31.33,177,106.21,0,1,26,2
30,Yusuf  Pathan,16,15,1,435,68,31.07,243,179.01,0,4,43,25
31,VVS  Laxman,6,6,1,155,52,31,132,117.42,0,1,22,1
32,Dwayne  Bravo,9,6,1,154,64,30.8,118,130.5,0,1,17,4
33,Sourav  Ganguly,13,13,1,349,91,29.08,307,113.68,0,3,33,15
34,David  Hussey,13,13,2,319,71,29,259,123.16,0,2,19,17
35,Rahul  Dravid,14,14,1,371,75,28.53,298,124.49,0,2,35,11
36,Salman  Butt,7,7,0,193,73,27.57,161,119.87,0,1,30,2
37,Parthiv  Patel,13,13,2,302,54,27.45,297,101.68,0,2,42,3
38,Shreevats  Goswami,4,3,0,82,52,27.33,85,96.47,0,1,9,1
39,Manoj  Tiwary,9,7,3,104,39,26,85,122.35,0,0,16,0
40,WA  Mota,4,2,1,26,25,26,27,96.29,0,0,2,0
41,Kamran  Akmal,6,6,1,128,53,25.6,78,164.1,0,1,13,8
42,Mahela  Jayawardene,13,12,5,179,45,25.57,131,136.64,0,0,15,7
43,Dinesh  Karthik,13,8,2,145,56,24.16,107,135.51,0,1,13,4
44,Yuvraj  Singh,15,14,1,299,57,23,184,162.5,0,1,24,19
45,Piyush  Chawla,15,7,3,90,24,22.5,59,152.54,0,0,10,3
46,Irfan  Pathan,14,10,4,131,40,21.83,116,112.93,0,0,9,6
47,Stephen  Fleming,10,10,1,196,45,21.77,164,119.51,0,0,27,3
48,MF  Maharoof,10,8,2,125,39,20.83,79,158.22,0,0,10,7
49,Laxmi  Ratan Shukla,13,12,4,163,42,20.37,122,133.6,0,0,17,5
50,Abhishek  Nayar,14,9,1,161,38,20.12,118,136.44,0,0,10,8
51,James  Hopes,11,11,0,221,71,20.09,148,149.32,0,2,27,8
52,LPC  Silva,3,3,1,40,23,20,26,153.84,0,0,5,1
53,Dominic  Thornely,6,4,2,39,30,19.5,53,73.58,0,0,2,2
54,Ravindra  Jadeja,14,9,2,135,36,19.28,103,131.06,0,0,11,6
55,W  Jaffer,6,6,0,115,50,19.16,104,110.57,0,1,12,3
56,AB  de Villiers,6,6,1,95,26,19,98,96.93,0,0,5,1
57,Scott  Styris,8,8,2,112,36,18.66,123,91.05,0,0,9,2
58,Shaun  Pollock,13,7,0,130,33,18.57,96,135.41,0,0,12,7
59,Herschelle  Gibbs,9,9,0,167,47,18.55,153,109.15,0,0,17,8
60,Ramnaresh  Sarwan,4,4,0,73,31,18.25,75,97.33,0,0,6,1
61,Dwaraka  Ravi Teja,7,6,0,109,40,18.16,82,132.92,0,0,10,5
62,S  Vidyut,9,8,0,145,54,18.12,109,133.02,0,1,21,3
63,Jacques  Kallis,11,11,0,199,54,18.09,183,108.74,0,1,23,4
64,Jacob  Oram,4,3,2,18,13,18,12,150,0,0,1,1
65,Tillakaratne  Dilshan,7,7,1,104,33,17.33,79,131.64,0,0,14,3
66,Debabrata  Das,6,6,0,103,31,17.16,94,109.57,0,0,9,5
67,Rajat  Bhatia,9,3,1,34,17,17,28,121.42,0,0,2,2
68,Brett  Lee,4,3,2,17,16,17,13,130.76,0,0,2,1
69,Misbah-ul-Haq,8,8,1,117,47,16.71,81,144.44,0,0,10,6
70,Dinesh  Salunkhe,6,3,1,33,26,16.5,24,137.5,0,0,5,0
71,Cameron  White,8,8,1,114,31,16.28,102,111.76,0,0,8,4
72,Mohammad  Kaif,16,14,3,176,34,16,171,102.92,0,0,14,6
73,Balachandra  Akhil,7,7,4,46,27,15.33,31,148.38,0,0,4,3
74,Virat  Kohli,13,12,1,165,38,15,157,105.09,0,0,18,4
75,MA  Khote,4,2,1,15,8,15,17,88.23,0,0,2,0
76,Shane  Warne,15,7,2,70,22,14,59,118.64,0,0,7,2
77,Shoaib  Malik,7,5,1,52,24,13,47,110.63,0,0,5,0
78,Umar  Gul,6,4,1,39,24,13,19,205.26,0,0,1,5
79,Saurabh  Tiwary,3,2,0,26,17,13,20,130,0,0,3,1
80,K  Goel,7,6,0,76,26,12.66,78,97.43,0,0,7,4
81,Amit  Mishra,6,3,0,37,31,12.33,42,88.09,0,0,3,0
82,Sohail  Tanvir,11,5,2,36,13,12,29,124.13,0,0,3,1
83,Praveen  Kumar,13,12,2,112,34,11.2,98,114.28,0,0,10,6
84,Ishant  Sharma,13,6,5,11,4,11,11,100,0,0,1,0
85,DNT  Zoysa,3,2,1,11,10,11,9,122.22,0,0,1,0
86,Makhaya  Ntini,9,2,1,11,11,11,18,61.11,0,0,2,0
87,Ajit  Agarkar,9,6,1,54,20,10.8,46,117.39,0,0,5,2
88,Luke  Ronchi,4,3,0,32,13,10.66,29,110.34,0,0,6,1
89,Tatenda  Taibu,3,3,0,31,15,10.33,26,119.23,0,0,3,0
90,Shahid  Afridi,10,9,1,81,33,10.12,46,176.08,0,0,7,6
91,Murali  Kartik,6,3,0,30,17,10,27,111.11,0,0,3,0
92,Mohammad  Hafeez,8,3,1,20,13,10,22,90.9,0,0,2,1
93,Arjun  Yadav,8,6,1,49,16,9.8,39,125.64,0,0,5,2
94,Ricky  Ponting,4,4,0,39,20,9.75,53,73.58,0,0,2,1
95,Siddharth  Chitnis,3,2,0,18,15,9,10,180,0,0,1,1
96,Darren  Lehmann,2,2,0,18,17,9,18,100,0,0,3,0
97,Dimitri  Mascarenhas,1,1,0,9,9,9,8,112.5,0,0,0,1
98,Ashley  Noffke,1,1,0,9,9,9,10,90,0,0,1,0
99,Zaheer  Khan,11,8,4,34,17,8.5,43,79.06,0,0,4,0
100,Mahesh  Rawat,11,7,3,34,23,8.5,39,87.17,0,0,3,1
1,Manish  Pandey,5,4,2,168,114,84,118,142.37,1,0,17,4
2,Matthew  Hayden,12,12,1,572,89,52,395,144.81,0,5,60,22
3,AB  de Villiers,15,13,4,465,105,51.66,355,130.98,1,3,39,12
4,Tillakaratne  Dilshan,14,13,3,418,67,41.8,341,122.58,0,4,42,13
5,MS  Dhoni,14,13,5,332,58,41.5,261,127.2,0,2,22,9
6,JP  Duminy,13,12,3,372,62,41.33,325,114.46,0,5,26,11
7,Brad  Hodge,12,12,3,365,73,40.55,310,117.74,0,3,34,9
8,Mahela  Jayawardene,10,10,4,219,52,36.5,165,132.72,0,1,17,7
9,Dinesh  Karthik,15,13,5,288,52,36,217,132.71,0,1,20,9
10,Andrew  Symonds,8,8,1,249,60,35.57,166,150,0,1,15,11
11,Herschelle  Gibbs,14,14,3,371,69,33.72,331,112.08,0,4,32,12
12,Sachin  Tendulkar,13,13,2,364,68,33.09,303,120.13,0,2,39,10
13,Ajit  Agarkar,11,7,5,66,39,33,57,115.78,0,0,3,3
14,Ross  Taylor,11,11,2,280,81,31.11,208,134.61,0,1,20,15
15,Suresh  Raina,14,14,0,434,98,31,308,140.9,0,2,37,21
16,Andrew  Flintoff,3,3,1,62,24,31,53,116.98,0,0,5,2
17,Adam  Gilchrist,16,16,0,495,85,30.93,325,152.3,0,3,54,29
18,Kumar  Sangakkara,14,13,2,332,60,30.18,324,102.46,0,2,29,5
19,Mark  Boucher,12,9,4,150,48,30,116,129.31,0,0,8,6
20,Chaminda  Vaas,2,2,1,30,20,30,21,142.85,0,0,1,1
21,Chris  Gayle,7,7,1,171,44,28.5,143,119.58,0,0,15,10
22,Yuvraj  Singh,14,14,2,340,58,28.33,294,115.64,0,2,25,16
23,Rohit  Sharma,16,16,3,362,52,27.84,315,114.92,0,1,22,18
24,Jacques  Kallis,15,15,2,361,69,27.76,332,108.73,0,3,37,8
25,Ravi  Bopara,5,5,0,138,84,27.6,119,115.96,0,1,8,7
26,Dwayne  Bravo,11,10,2,218,70,27.25,203,107.38,0,2,15,8
27,Ravindra  Jadeja,13,13,2,295,42,26.81,266,110.9,0,0,21,6
28,Shreevats  Goswami,2,2,0,53,43,26.5,60,88.33,0,0,6,0
29,Mithun  Manhas,10,6,3,75,26,25,62,120.96,0,0,7,1
30,David  Hussey,4,4,0,98,43,24.5,59,166.1,0,0,7,6
31,Albie  Morkel,12,10,6,97,21,24.25,70,138.57,0,0,8,4
32,Naman  Ojha,8,8,1,168,68,24,144,116.66,0,2,11,11
33,Ajinkya  Rahane,8,7,1,144,62,24,123,117.07,0,2,12,3
34,Wriddhiman  Saha,8,7,4,72,25,24,41,175.6,0,0,3,4
35,Brendon  McCullum,13,13,1,285,84,23.75,239,119.24,0,2,27,12
36,Tirumalasetti  Suman,12,12,2,237,41,23.7,190,124.73,0,0,18,8
37,Johan  Botha,3,3,1,47,37,23.5,40,117.5,0,0,5,0
38,David  Warner,7,7,0,163,51,23.28,132,123.48,0,1,16,5
39,Ramesh  Powar,9,4,3,23,10,23,22,104.54,0,0,2,0
40,Rahul  Dravid,13,12,0,271,66,22.58,234,115.81,0,1,28,3
41,George  Bailey,3,2,0,45,30,22.5,39,115.38,0,0,7,0
42,Virat  Kohli,16,13,2,246,50,22.36,219,112.32,0,1,22,8
43,Gautam  Gambhir,15,15,2,286,71,22,278,102.87,0,1,32,2
44,Dwaraka  Ravi Teja,9,6,3,65,27,21.66,70,92.85,0,0,7,0
45,Abhishek  Nayar,13,11,2,193,35,21.44,152,126.97,0,0,14,7
46,Ryan  Harris,8,5,4,21,9,21,18,116.66,0,0,0,0
47,MF  Maharoof,3,2,1,21,18,21,21,100,0,0,0,0
48,Yusuf  Pathan,13,13,1,243,62,20.25,183,132.78,0,1,24,12
49,LA  Carseldine,5,5,1,81,39,20.25,68,119.11,0,0,11,0
50,Shadab  Jakati,9,2,1,20,13,20,15,133.33,0,0,3,0
51,Joginder  Sharma,4,2,1,20,16,20,18,111.11,0,0,0,1
52,Yogesh  Nagar,1,1,0,20,20,20,20,100,0,0,1,0
53,Virender  Sehwag,11,11,1,198,50,19.8,138,143.47,0,1,24,7
54,Subramaniam  Badrinath,14,11,2,177,59,19.66,164,107.92,0,1,20,4
55,Irfan  Pathan,14,12,2,196,39,19.6,158,124.05,0,0,17,6
56,Abhishek  Raut,9,7,3,78,36,19.5,61,127.86,0,0,5,3
57,Graeme  Smith,12,12,1,212,77,19.27,216,98.14,0,1,27,1
58,Moises  Henriques,4,3,1,38,30,19,40,95,0,0,2,1
59,Sanath  Jayasuriya,12,12,0,221,52,18.41,192,115.1,0,2,23,7
60,Pinal  Shah,9,5,2,53,29,17.66,51,103.92,0,0,4,2
61,Sourav  Ganguly,13,11,0,189,46,17.18,207,91.3,0,0,13,6
62,Daniel  Vettori,7,4,2,34,29,17,32,106.25,0,0,3,0
63,Azhar  Bilakhia,6,6,2,67,22,16.75,81,82.71,0,0,5,0
64,Laxmi  Ratan Shukla,9,6,1,83,48,16.6,85,97.64,0,0,5,3
65,Simon  Katich,9,9,0,145,50,16.11,117,123.93,0,1,15,6
66,Anil  Kumble,16,7,6,16,7,16,19,84.21,0,0,2,0
67,Angelo  Mathews,1,1,0,16,16,16,13,123.07,0,0,2,0
68,Robin  Uthappa,15,13,2,175,66,15.9,170,102.94,0,1,18,3
69,Parthiv  Patel,9,9,0,142,36,15.77,126,112.69,0,0,19,2
70,K  Goel,9,9,1,124,38,15.5,133,93.23,0,0,9,4
71,Kevin  Pietersen,6,6,0,93,37,15.5,85,109.41,0,0,8,2
72,Roelof  van der Merwe,10,8,0,122,35,15.25,98,124.48,0,0,8,8
73,Murali  Vijay,4,4,0,60,31,15,67,89.55,0,0,4,2
74,GR  Napier,1,1,0,15,15,15,16,93.75,0,0,1,0
75,Rob  Quiney,7,7,0,103,51,14.71,102,100.98,0,1,12,3
76,Jacob  Oram,11,8,2,88,41,14.66,93,94.62,0,0,5,4
77,Sunny  Sohal,8,8,0,115,43,14.37,93,123.65,0,0,9,8
78,Brett  Lee,5,4,2,28,14,14,34,82.35,0,0,2,1
79,Scott  Styris,2,1,0,14,14,14,8,175,0,0,0,1
80,Shane  Warne,13,11,3,108,34,13.5,116,93.1,0,0,6,4
81,Praveen  Kumar,13,8,3,65,14,13,46,141.3,0,0,1,6
82,Saurabh  Tiwary,4,3,2,13,6,13,12,108.33,0,0,0,0
83,SA  Asnodkar,8,8,0,98,44,12.25,93,105.37,0,0,11,4
84,RR  Raje,4,2,1,12,11,12,9,133.33,0,0,0,1
85,Yashpal  Singh,8,4,0,47,20,11.75,66,71.21,0,0,5,0
86,Venugopal  Rao,16,13,2,124,32,11.27,114,108.77,0,0,6,3
87,Jesse  Ryder,5,5,0,56,32,11.2,49,114.28,0,0,9,0
88,Munaf  Patel,11,5,2,33,23,11,26,126.92,0,0,5,0
89,Aakash  Chopra,2,1,0,11,11,11,19,57.89,0,0,2,0
90,Harbhajan  Singh,13,10,2,84,20,10.5,53,158.49,0,0,6,5
91,Luke  Pomersbach,4,4,0,41,26,10.25,49,83.67,0,0,3,1
92,Shikhar  Dhawan,5,4,0,40,22,10,45,88.88,0,0,3,0
93,D  du Preez,2,1,0,10,10,10,13,76.92,0,0,0,0
94,Dimitri  Mascarenhas,5,4,0,39,27,9.75,39,100,0,0,4,0
95,Vinay  Kumar,11,8,3,47,12,9.4,44,106.81,0,0,4,1
96,NK  Patel,4,2,0,18,14,9,38,47.36,0,0,1,0
97,Manoj  Tiwary,2,1,0,9,9,9,13,69.23,0,0,1,0
98,Amit  Mishra,11,5,2,26,13,8.66,20,130,0,0,2,2
99,Balachandra  Akhil,6,3,1,17,9,8.5,15,113.33,0,0,1,1
100,Ishant  Sharma,11,3,1,16,9,8,13,123.07,0,0,1,1
1,Kevin  Pietersen,7,7,3,236,66,59,157,150.31,0,2,23,8
2,Owais  Shah,5,5,3,115,58,57.5,95,121.05,0,1,7,5
3,Shaun  Marsh,4,4,1,147,88,49,114,128.94,0,2,14,6
4,Jacques  Kallis,16,16,4,572,89,47.66,494,115.78,0,6,67,9
5,Sachin  Tendulkar,15,15,2,618,89,47.53,466,132.61,0,5,86,3
6,Suresh  Raina,16,16,5,520,83,47.27,364,142.85,0,4,45,22
7,Adam  Voges,9,7,3,181,45,45.25,143,126.57,0,0,15,3
8,Mahela  Jayawardene,13,13,3,439,110,43.9,298,147.31,1,1,55,11
9,Paul  Collingwood,8,7,2,203,75,40.6,156,130.12,0,3,9,13
10,Ajit  Agarkar,7,4,3,40,17,40,29,137.93,0,0,4,0
11,Mithun  Manhas,9,8,4,157,32,39.25,149,105.36,0,0,14,0
12,Sourav  Ganguly,14,14,1,493,88,37.92,419,117.66,0,4,58,15
13,Shane  Watson,6,5,0,185,60,37,114,162.28,0,2,18,9
14,Murali  Vijay,15,15,2,458,127,35.23,292,156.84,1,2,36,26
15,Bodapati  Sumanth,5,4,3,35,16,35,37,94.59,0,0,3,0
16,Irfan  Pathan,14,13,5,276,60,34.5,186,148.38,0,1,21,10
17,Tirumalasetti  Suman,14,14,5,307,78,34.11,257,119.45,0,2,23,12
18,Angelo  Mathews,14,11,4,233,65,33.28,184,126.63,0,1,18,8
19,Daniel  Vettori,3,3,2,33,19,33,27,122.22,0,0,4,0
20,Chris  Gayle,9,9,0,292,88,32.44,184,158.69,0,2,30,16
21,Subramaniam  Badrinath,16,15,4,356,55,32.36,303,117.49,0,2,41,5
22,MS  Dhoni,13,11,2,287,66,31.88,210,136.66,0,2,26,8
23,Naman  Ojha,14,14,2,377,94,31.41,285,132.28,0,2,42,15
24,JP  Duminy,7,7,2,157,42,31.4,131,119.84,0,0,13,5
25,Robin  Uthappa,16,14,2,374,68,31.16,218,171.55,0,3,21,27
26,Ravi  Bopara,10,9,1,248,77,31,214,115.88,0,2,25,3
27,Gautam  Gambhir,11,10,1,277,72,30.77,217,127.64,0,2,32,2
28,Andrew  Symonds,16,16,2,429,54,30.64,341,125.8,0,4,35,18
29,Cheteshwar  Pujara,10,6,2,122,45,30.5,115,106.08,0,0,14,3
30,Saurabh  Tiwary,16,15,1,419,61,29.92,309,135.59,0,3,29,18
31,Kumar  Sangakkara,13,12,0,357,56,29.75,257,138.91,0,2,47,5
32,Abhishek  Nayar,3,3,1,58,27,29,51,113.72,0,0,4,2
33,Rohit  Sharma,16,16,2,404,73,28.85,302,133.77,0,3,36,14
34,Brendon  McCullum,5,5,1,114,57,28.5,110,103.63,0,1,14,2
35,Rahul  Dravid,16,11,2,256,52,28.44,199,128.64,0,1,34,3
36,David  Warner,11,11,1,282,107,28.2,191,147.64,1,1,27,14
37,Abhishek  Raut,6,5,3,56,32,28,48,116.66,0,0,3,3
38,Virat  Kohli,16,13,2,307,58,27.9,212,144.81,0,1,26,12
39,Yusuf  Pathan,14,14,2,333,100,27.75,201,165.67,1,1,22,24
40,Ambati  Rayudu,14,14,1,356,55,27.38,246,144.71,0,2,34,13
41,S  Sriram,1,1,0,27,27,27,29,93.1,0,0,3,0
42,Herschelle  Gibbs,10,10,0,267,50,26.7,235,113.61,0,1,26,9
43,Manoj  Tiwary,13,11,2,237,75,26.33,186,127.41,0,2,23,5
44,Harbhajan  Singh,15,7,3,105,49,26.25,63,166.66,0,0,12,5
45,Virender  Sehwag,14,14,0,356,75,25.42,218,163.3,0,3,47,14
46,Kedar  Jadhav,5,5,2,76,50,25.33,56,135.71,0,1,7,2
47,Michael  Lumb,11,11,0,278,83,25.27,192,144.79,0,1,45,6
48,Albie  Morkel,14,11,3,198,62,24.75,131,151.14,0,1,10,13
49,Brad  Hodge,4,4,0,99,50,24.75,90,110,0,1,11,1
50,Cameron  White,7,5,3,48,21,24,33,145.45,0,0,3,3
51,Zaheer  Khan,14,4,3,24,23,24,13,184.61,0,0,3,1
52,David  Hussey,6,6,2,94,31,23.5,86,109.3,0,0,5,5
53,Ashish  Nehra,4,2,1,23,22,23,20,115,0,0,2,1
54,Kieron  Pollard,14,14,2,273,45,22.75,147,185.71,0,0,23,17
55,Wriddhiman  Saha,13,7,4,67,22,22.33,53,126.41,0,0,9,1
56,Ross  Taylor,7,7,3,88,31,22,75,117.33,0,0,2,6
57,Ryan  McLaren,10,7,4,66,40,22,69,95.65,0,0,7,0
58,Graeme  Smith,2,2,0,44,26,22,39,112.82,0,0,7,0
59,Manvinder  Bisla,10,10,0,218,75,21.8,178,122.47,0,1,27,6
60,Matthew  Hayden,16,16,0,346,93,21.62,279,124.01,0,1,37,16
61,Dinesh  Karthik,14,14,1,278,69,21.38,237,117.29,0,1,26,6
62,Yuvraj  Singh,14,14,2,255,43,21.25,199,128.14,0,0,20,14
63,Adrian  Barath,3,3,1,42,33,21,42,100,0,0,5,1
64,Aaron  Finch,1,1,0,21,21,21,21,100,0,0,0,1
65,Manish  Pandey,13,13,1,249,42,20.75,226,110.17,0,0,27,7
66,Faiz  Fazal,10,9,1,164,45,20.5,154,106.49,0,0,19,1
67,Abhishek  Jhunjhunwala,13,11,2,183,53,20.33,166,110.24,0,1,16,4
68,Shikhar  Dhawan,10,10,0,191,56,19.1,170,112.35,0,2,23,3
69,Damien  Martyn,1,1,0,19,19,19,24,79.16,0,0,1,0
70,Michael  Hussey,3,3,1,37,15,18.5,44,84.09,0,0,2,0
71,Adam  Gilchrist,16,16,0,289,54,18.06,185,156.21,0,1,31,16
72,Parthiv  Patel,4,4,0,72,57,18,79,91.13,0,1,6,2
73,Laxmi  Ratan Shukla,4,2,0,36,19,18,26,138.46,0,0,3,2
74,K  Goel,6,2,1,18,17,18,20,90,0,0,1,1
75,George  Bailey,1,1,0,18,18,18,27,66.66,0,0,2,0
76,Aditya  Dole,3,2,0,34,30,17,22,154.54,0,0,3,1
77,Rajagopal  Sathish,12,11,4,112,24,16,96,116.66,0,0,11,0
78,AB  de Villiers,7,7,0,111,45,15.85,119,93.27,0,0,7,0
79,Anirudh  Singh,5,4,0,63,40,15.75,66,95.45,0,0,6,1
80,Mohnish  Mishra,11,11,0,166,41,15.09,144,115.27,0,0,18,6
81,C  Madan,1,1,0,15,15,15,19,78.94,0,0,3,0
82,Mitchell  Marsh,3,2,0,28,15,14,30,93.33,0,0,1,1
83,Paras  Dogra,9,8,0,107,41,13.37,106,100.94,0,0,4,5
84,JM  Kemp,5,2,0,26,22,13,24,108.33,0,0,1,1
85,Mark  Boucher,5,2,1,13,11,13,10,130,0,0,0,1
86,VVS  Laxman,6,6,1,64,22,12.8,60,106.66,0,0,7,1
87,Aditya  Tare,7,4,0,50,23,12.5,36,138.88,0,0,5,3
88,Piyush  Chawla,14,6,1,62,22,12.4,60,103.33,0,0,7,0
89,Shaun  Tait,8,2,1,12,11,12,13,92.3,0,0,0,1
90,Dimitri  Mascarenhas,2,2,1,12,9,12,10,120,0,0,0,0
91,Eoin  Morgan,6,4,1,35,17,11.66,30,116.66,0,0,2,1
92,Ryan  Harris,8,5,1,45,15,11.25,39,115.38,0,0,2,2
93,Murali  Kartik,10,2,0,22,21,11,22,100,0,0,2,0
94,Brett  Lee,4,3,2,11,7,11,9,122.22,0,0,1,0
95,Moises  Henriques,1,1,0,11,11,11,5,220,0,0,2,0
96,MF  Maharoof,7,4,1,31,28,10.33,23,134.78,0,0,2,2
97,Siddharth  Trivedi,11,4,2,20,9,10,14,142.85,0,0,3,1
98,T  Thushara,4,2,1,10,8,10,11,90.9,0,0,0,0
99,Pradeep  Sangwan,8,2,1,10,6,10,14,71.42,0,0,0,0
100,Kemar  Roach,2,1,0,10,10,10,9,111.11,0,0,1,0
1,Wriddhiman  Saha,7,3,2,68,46,68,63,107.93,0,0,2,4
2,Chris  Gayle,12,12,3,608,107,67.55,332,183.13,2,3,57,44
3,Subramaniam  Badrinath,16,13,6,396,71,56.57,313,126.51,0,5,38,9
4,James  Franklin,8,5,3,107,45,53.5,78,137.17,0,0,10,2
5,Ryan  ten Doeschate,6,3,1,107,70,53.5,73,146.57,0,1,9,5
6,Manoj  Tiwary,15,14,7,359,61,51.28,325,110.46,0,1,26,14
7,Virat  Kohli,16,16,4,557,71,46.41,460,121.08,0,4,55,16
8,Johan  Botha,10,9,4,230,67,46,198,116.16,0,1,20,2
9,MS  Dhoni,16,13,4,392,70,43.55,247,158.7,0,2,25,23
10,Sachin  Tendulkar,16,16,3,553,100,42.53,488,113.31,1,2,67,5
11,Shaun  Marsh,14,13,1,504,95,42,344,146.51,0,4,52,20
12,Michael  Hussey,14,14,2,492,83,41,414,118.84,0,4,53,6
13,James  Hopes,10,8,3,196,55,39.2,158,124.05,0,2,22,3
14,Virender  Sehwag,11,11,0,424,119,38.54,240,176.66,1,2,51,18
15,Stuart  Binny,6,2,1,37,30,37,31,119.35,0,0,2,1
16,Ross  Taylor,12,11,6,181,47,36.2,152,119.07,0,0,11,7
17,Brad  Hodge,14,14,6,285,51,35.62,236,120.76,0,1,26,9
18,Paul  Valthaty,14,14,1,463,120,35.61,338,136.98,1,2,56,20
19,Jacques  Kallis,15,14,2,424,80,35.33,378,112.16,0,4,46,6
20,AB  de Villiers,16,13,4,312,65,34.66,243,128.39,0,2,21,14
21,Gautam  Gambhir,15,15,4,378,75,34.36,317,119.24,0,2,44,3
22,Harbhajan  Singh,15,8,5,103,30,34.33,71,145.07,0,0,9,6
23,Yuvraj  Singh,14,13,3,343,66,34.3,261,131.41,0,2,24,18
24,Rohit  Sharma,16,14,3,372,87,33.81,297,125.25,0,3,32,13
25,Andrew  Symonds,11,9,5,135,44,33.75,138,97.82,0,0,9,3
26,Shikhar  Dhawan,14,14,2,400,95,33.33,310,129.03,0,2,47,7
27,Shane  Watson,11,11,1,330,89,33,253,130.43,0,1,31,17
28,Ravindra  Jadeja,14,12,3,283,47,31.44,228,124.12,0,0,20,14
29,Suresh  Raina,16,16,2,438,73,31.28,325,134.76,0,4,36,17
30,Rahul  Dravid,12,12,1,343,66,31.18,314,109.23,0,1,45,2
31,Ryan  McLaren,6,4,1,90,51,30,96,93.75,0,1,7,1
32,Yusuf  Pathan,15,11,1,283,47,28.3,201,140.79,0,0,24,13
33,Tillakaratne  Dilshan,10,10,2,226,59,28.25,180,125.55,0,2,33,3
